ExerciseDate,ExerciseActivityName,ExerciseActiveDuration,ExerciseAverageHeartRate,ExerciseCalories,ExerciseDuration,ExerciseElevationGain,ExerciseSteps,ExerciseSedentaryMinutes,ExerciseLightMinutes,ExerciseFairlyActiveMinutes,ExerciseVeryActiveMinutes,ExerciseOutOfRangeMaxHR,ExerciseOutOfRangeMinHR,ExerciseOutOfRangeMinutes,ExerciseFatBurnMaxHR,ExerciseFatBurnMinHR,ExerciseFatBurnMinutes,ExerciseCardioMaxHR,ExerciseCardioMinHR,ExerciseCardioMinutes,ExercisePeakMaxHR,ExercisePeakMinHR,ExercisePeakMinutes,Speed,Pace,ExerciseDistance,Year,Month,Day,YearMonthDay
2018-11-28 22:17:24,Weights,2827000,102,345,2829000,33.999344,651,11,8,6,22,96,30,22,135,96,19,164,135,6,220,164,0,0.0,0.0,0.0,2018,11,28,2018-11-28
2018-11-30 12:52:51,Walk,921000,74,120,921000,60.0,1362,0,4,2,9,96,30,15,135,96,1,164,135,0,220,164,0,0.0,0.0,0.0,2018,11,30,2018-11-30
2018-11-30 22:17:54,Weights,2383000,113,373,2385000,17.001312,773,0,2,10,27,96,30,9,135,96,28,164,135,3,220,164,0,0.0,0.0,0.0,2018,11,30,2018-11-30
2018-12-01 23:02:09,Walk,1843000,79,218,1843000,48.664698,2326,0,7,8,15,96,30,29,135,96,1,164,135,0,220,164,0,0.0,0.0,0.0,2018,12,1,2018-12-01
2018-12-02 17:05:50,Run,2534000,158,667,3224000,172.998688,6675,0,0,0,42,96,30,1,135,96,2,164,135,20,220,164,20,6.339250513022889,567.8904773686456,4.443911,2018,12,2,2018-12-02
2018-12-04 22:27:29,Weights,2281000,109,331,2282000,22.001312,614,1,7,5,25,96,30,9,135,96,28,164,135,1,220,164,0,0.0,0.0,0.0,2018,12,4,2018-12-04
2018-12-06 22:22:53,Weights,2880000,107,387,2882000,16.000656,795,8,13,8,19,96,30,17,135,96,28,164,135,3,220,164,0,0.0,0.0,0.0,2018,12,6,2018-12-06
2018-12-07 22:24:58,Weights,2788000,110,394,2790000,25.0,1235,5,7,8,26,96,30,15,135,96,26,164,135,5,220,164,0,0.0,0.0,0.0,2018,12,7,2018-12-07
2018-12-10 22:09:45,Weights,3114000,122,567,3116000,47.998688,1046,0,1,8,42,96,30,7,135,96,29,164,135,14,220,164,2,0.0,0.0,0.0,2018,12,10,2018-12-10
2018-12-12 22:05:32,Walk,1075000,91,147,1075000,10.0,1109,0,12,1,5,96,30,14,135,96,2,164,135,2,220,164,0,0.0,0.0,0.0,2018,12,12,2018-12-12
